time,value
2024-09-02T14:59:41.756757888Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:42.823589374Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:43.768510483Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:44.763542671Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:45.754243963Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:46.761299905Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:47.776521007Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:48.792418359Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:49.846479976Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:50.868796063Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:51.973479731Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:52.879225181Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:53.921716751Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:54.90566051Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:55.9105213Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:56.902667613Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:57.966973913Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:58.938554219Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T14:59:59.941586344Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T15:00:00.962626534Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T15:00:01.988718313Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T15:00:02.960881706Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T15:00:04.003740579Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T15:00:05.020712935Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T15:00:06.061442823Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T15:00:07.055614436Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T15:00:08.068726287Z,{"lat":-37.86760752951969,"lon":145.21484643407788}
2024-09-02T15:00:09.024615775Z,{"lat":-37.86760913678986,"lon":145.21484516542225}
2024-09-02T15:00:10.062419574Z,{"lat":-37.86760913678986,"lon":145.21484516542225}
2024-09-02T15:00:11.065705677Z,{"lat":-37.86760913678986,"lon":145.21484516542225}
